title;chapter;section;number;details;detailsAlgolia;topics
CVM Nº 555;CAPÍTULO I – ÂMBITO E FINALIDADE;;1;Art. 1º  A presente Instrução aplica-se a todo e qualquer fundo de investimento registrado junto à CVM, observadas as disposições das normas específicas aplicáveis a estes fundos. ;Art. 1º  A presente Instrução aplica-se a todo e qualquer fundo de investimento registrado junto à CVM, observadas as disposições das normas específicas aplicáveis a estes fundos. ;Âmbito/Finalidade
CVM Nº 555;CAPÍTULO II – DEFINIÇÕES;;2;"Art. 2º  A. Para os efeitos desta Instrução, entende-se por:<br><br>
I – administrador (do fundo): pessoa jurídica autorizada pela CVM para o exercício profissional de administração de carteiras de valores mobiliários e responsável pela administração do fundo; <br><br>
II – agência de classificação de risco de crédito: pessoa jurídica registrada ou reconhecida pela CVM que exerce profissionalmente a atividade de classificação de risco de crédito no âmbito do mercado de valores mobiliários;<br><br>
III – amortização (de cotas): pagamento uniforme realizado pelo fundo, a todos os seus cotistas, de parcela do valor de suas cotas sem redução do número de cotas emitidas, efetuado em conformidade com o disposto no regulamento ou com deliberação da assembleia geral de cotistas; <br><br>
IV – apropriação: é o registro de despesa incorrida pelo fundo, independentemente da efetuação do pagamento, em conformidade com o regime de competência; <br><br>
V – ativos financeiros: <br><br>
a) títulos da dívida pública;<br><br>
b) contratos derivativos;<br><br>
c) desde que a emissão ou negociação tenha sido objeto de registro ou de autorização pela CVM, ações, debêntures, bônus de subscrição, cupons, direitos, recibos de subscrição e certificados de desdobramentos, certificados de depósito de valores mobiliários, cédulas de debêntures, cotas de fundos de investimento, notas promissórias, e quaisquer outros valores mobiliários, que não os referidos na alínea “d”;<br><br>
d) títulos ou contratos de investimento coletivo, registrados na CVM e ofertados publicamente, que gerem direito de participação, de parceria ou de remuneração, inclusive resultante de prestação de serviços, cujos rendimentos advêm do esforço do empreendedor ou de terceiros;<br><br>
e) certificados ou recibos de depósitos emitidos no exterior com lastro em valores mobiliários de emissão de companhia aberta brasileira;<br><br>
f) o ouro, ativo financeiro, desde que negociado em padrão internacionalmente aceito;<br><br>
g) quaisquer títulos, contratos e modalidades operacionais de obrigação ou coobrigação de instituição financeira; e<br><br>
h) warrants, contratos mercantis de compra e venda de produtos, mercadorias ou serviços para entrega ou prestação futura, títulos ou certificados representativos desses contratos e quaisquer outros créditos, títulos, contratos e modalidades operacionais desde que expressamente previstos no regulamento;<br><br>
VI – ativos financeiros no exterior: ativos financeiros negociados no exterior que tenham a mesma natureza econômica dos ativos financeiros no Brasil;<br><br>
VII – autoridade local reconhecida: autoridade estrangeira com a qual a CVM tenha celebrado acordo de cooperação mútua que permita o intercâmbio de informações sobre operações cursadas nos mercados por ela supervisionados, ou que seja signatária do memorando multilateral de entendimentos da Organização Internacional das Comissões de Valores – OICV/IOSCO;<br><br>
VIII – BDR (nível I, II, ou III): certificados representativos de valores mobiliários de emissão de companhia aberta, ou assemelhada, com sede no exterior e emitidos por instituição depositária no Brasil, que atendam a classificação do nível I, II ou III estabelecida em regra especifica da CVM;<br><br>";"Art. 2º  A. Para os efeitos desta Instrução, entende-se por:  
I – administrador (do fundo): pessoa jurídica autorizada pela CVM para o exercício profissional de administração de carteiras de valores mobiliários e responsável pela administração do fundo;   
II – agência de classificação de risco de crédito: pessoa jurídica registrada ou reconhecida pela CVM que exerce profissionalmente a atividade de classificação de risco de crédito no âmbito do mercado de valores mobiliários;  
III – amortização (de cotas): pagamento uniforme realizado pelo fundo, a todos os seus cotistas, de parcela do valor de suas cotas sem redução do número de cotas emitidas, efetuado em conformidade com o disposto no regulamento ou com deliberação da assembleia geral de cotistas;   
IV – apropriação: é o registro de despesa incorrida pelo fundo, independentemente da efetuação do pagamento, em conformidade com o regime de competência;   
V – ativos financeiros:   
a) títulos da dívida pública;  
b) contratos derivativos;  
c) desde que a emissão ou negociação tenha sido objeto de registro ou de autorização pela CVM, ações, debêntures, bônus de subscrição, cupons, direitos, recibos de subscrição e certificados de desdobramentos, certificados de depósito de valores mobiliários, cédulas de debêntures, cotas de fundos de investimento, notas promissórias, e quaisquer outros valores mobiliários, que não os referidos na alínea “d”;  
d) títulos ou contratos de investimento coletivo, registrados na CVM e ofertados publicamente, que gerem direito de participação, de parceria ou de remuneração, inclusive resultante de prestação de serviços, cujos rendimentos advêm do esforço do empreendedor ou de terceiros;  
e) certificados ou recibos de depósitos emitidos no exterior com lastro em valores mobiliários de emissão de companhia aberta brasileira;  
f) o ouro, ativo financeiro, desde que negociado em padrão internacionalmente aceito;  
g) quaisquer títulos, contratos e modalidades operacionais de obrigação ou coobrigação de instituição financeira; e  
h) warrants, contratos mercantis de compra e venda de produtos, mercadorias ou serviços para entrega ou prestação futura, títulos ou certificados representativos desses contratos e quaisquer outros créditos, títulos, contratos e modalidades operacionais desde que expressamente previstos no regulamento;  
VI – ativos financeiros no exterior: ativos financeiros negociados no exterior que tenham a mesma natureza econômica dos ativos financeiros no Brasil;  
VII – autoridade local reconhecida: autoridade estrangeira com a qual a CVM tenha celebrado acordo de cooperação mútua que permita o intercâmbio de informações sobre operações cursadas nos mercados por ela supervisionados, ou que seja signatária do memorando multilateral de entendimentos da Organização Internacional das Comissões de Valores – OICV/IOSCO;  
VIII – BDR (nível I, II, ou III): certificados representativos de valores mobiliários de emissão de companhia aberta, ou assemelhada, com sede no exterior e emitidos por instituição depositária no Brasil, que atendam a classificação do nível I, II ou III estabelecida em regra especifica da CVM;  ";Definições
CVM Nº 555;CAPÍTULO II – DEFINIÇÕES;;2;"Art. 2º B. IX – carteira (do fundo): conjunto de ativos financeiros e disponibilidades do fundo; <br><br>
X – cessão fiduciária (de cotas): modalidade de garantia mediante a qual o devedor transfere a titularidade de cotas de sua propriedade ao credor, em caráter resolúvel, até o adimplemento da obrigação garantida;<br><br>
XI – classificação (do fundo): denominação de uso obrigatório de que trata o art. 108, indicativa do principal fator de risco da carteira do fundo; <br><br>
XII – cota base: valor da cota logo após a última cobrança de taxa de performance efetuada;<br><br>
XIII – cotas do fundo: termo definido no art. 11;<br><br>
XIV – cotista: aquele que detém cotas de um fundo de investimento, mediante sua inscrição no livro de cotistas do fundo, que pode se dar inclusive por meio de sistemas informatizados; <br><br>
XV – data da aplicação: a data da efetiva disponibilização, para o fundo, dos recursos investidos pelo cliente ou pelo distribuidor, na hipótese do Capítulo IV, Subseção V, desta Instrução; <br><br>
XVI – data de conversão de cotas: a data indicada no regulamento do fundo para apuração do valor da cota para efeito da aplicação e do pagamento do resgate;<br><br>
XVII – data de pagamento de resgate: a data do efetivo pagamento, pelo fundo, do valor líquido devido ao cotista que efetuou pedido de resgate;<br><br>
XVIII – data do pedido de resgate: a data em que o cotista solicita o resgate de parte ou da totalidade das cotas de sua propriedade; <br><br>
XIX – demonstração de desempenho do fundo: relatório padronizado cujo modelo constitui o Anexo 56;<br><br>
XX – distribuidor: intermediário contratado pelo administrador em nome do fundo para realizar a distribuição de suas cotas;<br><br>
XXI – encargos do fundo: despesas específicas que podem ser debitadas diretamente do fundo e não estão inclusas na taxa de administração;<br><br>
XXII – escrituração: termo definido em norma própria que trata da prestação de serviços de escrituração;<br><br>
XXIII – REVOGADO<br><br>
 Inciso XXIII revogado pela Instrução CVM no 604, de 13 de dezembro de 2018.<br><br>
XXIV – fundo aberto: termo definido no art. 4º;<br><br>
XXV – fundo (de investimento): termo definido no art. 3º;<br><br>
XXVI – fundo de investimento em cotas (de fundos de investimento): fundo de investimento que deve manter, no mínimo, 95% (noventa e cinco por cento) de seu patrimônio investido em cotas de fundos de investimento;<br><br>
XXVII – fundo fechado: termo definido no art. 4º;<br><br>
XXVIII – fundo exclusivo: termo definido no art. 130;<br><br>
XXIX – gestão (de carteira): termo definido no art. 78, § 3º; <br><br>
XXX – gestor: pessoa natural ou jurídica autorizada pela CVM para o exercício profissional de administração de carteiras de valores mobiliários, contratada pelo administrador em nome do fundo para realizar a gestão profissional de sua carteira;<br><br>
XXXI – grupo econômico: conjunto de entidades controladoras diretas ou indiretas, controladas, coligadas ou submetidos a controle comum; <br><br>";"Art. 2º B. IX – carteira (do fundo): conjunto de ativos financeiros e disponibilidades do fundo;   
X – cessão fiduciária (de cotas): modalidade de garantia mediante a qual o devedor transfere a titularidade de cotas de sua propriedade ao credor, em caráter resolúvel, até o adimplemento da obrigação garantida;  
XI – classificação (do fundo): denominação de uso obrigatório de que trata o art. 108, indicativa do principal fator de risco da carteira do fundo;   
XII – cota base: valor da cota logo após a última cobrança de taxa de performance efetuada;  
XIII – cotas do fundo: termo definido no art. 11;  
XIV – cotista: aquele que detém cotas de um fundo de investimento, mediante sua inscrição no livro de cotistas do fundo, que pode se dar inclusive por meio de sistemas informatizados;   
XV – data da aplicação: a data da efetiva disponibilização, para o fundo, dos recursos investidos pelo cliente ou pelo distribuidor, na hipótese do Capítulo IV, Subseção V, desta Instrução;   
XVI – data de conversão de cotas: a data indicada no regulamento do fundo para apuração do valor da cota para efeito da aplicação e do pagamento do resgate;  
XVII – data de pagamento de resgate: a data do efetivo pagamento, pelo fundo, do valor líquido devido ao cotista que efetuou pedido de resgate;  
XVIII – data do pedido de resgate: a data em que o cotista solicita o resgate de parte ou da totalidade das cotas de sua propriedade;   
XIX – demonstração de desempenho do fundo: relatório padronizado cujo modelo constitui o Anexo 56;  
XX – distribuidor: intermediário contratado pelo administrador em nome do fundo para realizar a distribuição de suas cotas;  
XXI – encargos do fundo: despesas específicas que podem ser debitadas diretamente do fundo e não estão inclusas na taxa de administração;  
XXII – escrituração: termo definido em norma própria que trata da prestação de serviços de escrituração;  
XXIII – REVOGADO  
 Inciso XXIII revogado pela Instrução CVM no 604, de 13 de dezembro de 2018.  
XXIV – fundo aberto: termo definido no art. 4º;  
XXV – fundo (de investimento): termo definido no art. 3º;  
XXVI – fundo de investimento em cotas (de fundos de investimento): fundo de investimento que deve manter, no mínimo, 95% (noventa e cinco por cento) de seu patrimônio investido em cotas de fundos de investimento;  
XXVII – fundo fechado: termo definido no art. 4º;  
XXVIII – fundo exclusivo: termo definido no art. 130;  
XXIX – gestão (de carteira): termo definido no art. 78, § 3º;   
XXX – gestor: pessoa natural ou jurídica autorizada pela CVM para o exercício profissional de administração de carteiras de valores mobiliários, contratada pelo administrador em nome do fundo para realizar a gestão profissional de sua carteira;  
XXXI – grupo econômico: conjunto de entidades controladoras diretas ou indiretas, controladas, coligadas ou submetidos a controle comum;   ";Definições
CVM Nº 555;CAPÍTULO II – DEFINIÇÕES;;2;"Art. 2º C. XXXII – intermediário: instituição habilitada a atuar como integrante do sistema de distribuição, por conta própria e de terceiros, na negociação de valores mobiliários em mercados regulamentados de valores mobiliários; <br><br>
XXXIII – lâmina (de informações essenciais): documento cujo modelo constitui o Anexo 42;<br><br>
XXXIV – mercado organizado: mercados organizados de valores mobiliários, que compreendem as bolsas de valores, bolsas de mercadorias e futuros e mercados de balcão organizados, autorizados a funcionar pela CVM, nos termos de instrução específica;<br><br>
XXXV – OICV/IOSCO: Organização Internacional das Comissões de Valores;<br><br>
XXXVI – operações compromissadas: operações definidas como tal pelo Conselho Monetário Nacional em norma específica;<br><br>
XXXVII – patrimônio líquido (do fundo): é a diferença entre o total do ativo realizável e do passivo exigível;<br><br>
XXXVIII – perfil mensal: formulário de periodicidade mensal cujo modelo constitui o Anexo 59;<br><br>
XXXIX – prazo de carência (para resgate): é o prazo estipulado no regulamento durante o qual o cotista  terá restrições para solicitar o resgate; <br><br>
XL – prazo para pagamento de resgate: é o prazo contado entre a data do pedido de resgate e a data do pagamento do resgate; <br><br>
XLI – provisionamento: é o registro contábil de um passivo, ainda que estimado, em função de obrigação já constituída;<br><br>
XLII – regulamento: é o documento de constituição do fundo de investimento que contém, no mínimo, as disposições obrigatórias previstas nesta Instrução; <br><br>";"Art. 2º C. XXXII – intermediário: instituição habilitada a atuar como integrante do sistema de distribuição, por conta própria e de terceiros, na negociação de valores mobiliários em mercados regulamentados de valores mobiliários;   
XXXIII – lâmina (de informações essenciais): documento cujo modelo constitui o Anexo 42;  
XXXIV – mercado organizado: mercados organizados de valores mobiliários, que compreendem as bolsas de valores, bolsas de mercadorias e futuros e mercados de balcão organizados, autorizados a funcionar pela CVM, nos termos de instrução específica;  
XXXV – OICV/IOSCO: Organização Internacional das Comissões de Valores;  
XXXVI – operações compromissadas: operações definidas como tal pelo Conselho Monetário Nacional em norma específica;  
XXXVII – patrimônio líquido (do fundo): é a diferença entre o total do ativo realizável e do passivo exigível;  
XXXVIII – perfil mensal: formulário de periodicidade mensal cujo modelo constitui o Anexo 59;  
XXXIX – prazo de carência (para resgate): é o prazo estipulado no regulamento durante o qual o cotista  terá restrições para solicitar o resgate;   
XL – prazo para pagamento de resgate: é o prazo contado entre a data do pedido de resgate e a data do pagamento do resgate;   
XLI – provisionamento: é o registro contábil de um passivo, ainda que estimado, em função de obrigação já constituída;  
XLII – regulamento: é o documento de constituição do fundo de investimento que contém, no mínimo, as disposições obrigatórias previstas nesta Instrução;   ";Definições
CVM Nº 555;CAPÍTULO II – DEFINIÇÕES;;2;"Art. 2º  D. XLIII – taxa de administração: taxa cobrada do fundo para remunerar o administrador do fundo e os prestadores dos serviços previstos no art. 78, § 2º, excetuados os incisos VI e VIII e observado o art. 85, § 7º; <br><br>
 Inciso XLIII com redação dada pela Instrução CVM nº 563, de 18 de maio de 2015.<br><br>
XLIV – taxa de performance: taxa cobrada do fundo em função do resultado do fundo ou do cotista; <br><br>
XLV – taxa de entrada: taxa paga pelo cotista ao aplicar recursos em um fundo de investimento, conforme previsto no regulamento;<br><br>
XLVI – taxa de saída: taxa paga pelo cotista ao resgatar recursos de um fundo, conforme previsto no regulamento;<br><br>
XLVII – termo de adesão (e ciência de risco): termo definido no art. 25; <br><br>
XLVIII – valor da cota (do dia): termo definido no art. 11, § 1º ou no art. 16, § 1º, conforme o caso;  <br><br>
XLIX – veículo de investimento: entidade, dotada ou não de personalidade jurídica, constituída com o objetivo de investir recursos obtidos junto a um ou mais investidores; 
L – vínculo familiar: ascendentes, descendentes ou parentes afins, civis e colaterais até o segundo grau; e 
 Inciso L com redação dada pela Instrução CVM nº 563, de 18 de maio de 2015.
LI – vínculo societário familiar: vínculo decorrente da participação direta ou indireta em empresa constituída com o objetivo de consolidar patrimônio de um grupo de pessoas que possuam vínculo familiar. ";"Art. 2º  D. XLIII – taxa de administração: taxa cobrada do fundo para remunerar o administrador do fundo e os prestadores dos serviços previstos no art. 78, § 2º, excetuados os incisos VI e VIII e observado o art. 85, § 7º;   
 Inciso XLIII com redação dada pela Instrução CVM nº 563, de 18 de maio de 2015.  
XLIV – taxa de performance: taxa cobrada do fundo em função do resultado do fundo ou do cotista;   
XLV – taxa de entrada: taxa paga pelo cotista ao aplicar recursos em um fundo de investimento, conforme previsto no regulamento;  
XLVI – taxa de saída: taxa paga pelo cotista ao resgatar recursos de um fundo, conforme previsto no regulamento;  
XLVII – termo de adesão (e ciência de risco): termo definido no art. 25;   
XLVIII – valor da cota (do dia): termo definido no art. 11, § 1º ou no art. 16, § 1º, conforme o caso;    
XLIX – veículo de investimento: entidade, dotada ou não de personalidade jurídica, constituída com o objetivo de investir recursos obtidos junto a um ou mais investidores; 
L – vínculo familiar: ascendentes, descendentes ou parentes afins, civis e colaterais até o segundo grau; e 
 Inciso L com redação dada pela Instrução CVM nº 563, de 18 de maio de 2015.
LI – vínculo societário familiar: vínculo decorrente da participação direta ou indireta em empresa constituída com o objetivo de consolidar patrimônio de um grupo de pessoas que possuam vínculo familiar. ";Definições
CVM Nº 555; CAPÍTULO III – CARACTERÍSTICAS, CONSTITUIÇÃO E COMUNICAÇÃO;Seção I – Características Gerais;3;Art. 3º  O fundo de investimento é uma comunhão de recursos, constituído sob a forma de condomínio, destinado à aplicação em ativos financeiros.;Art. 3º  O fundo de investimento é uma comunhão de recursos, constituído sob a forma de condomínio, destinado à aplicação em ativos financeiros.;Características gerais/Novo fundo/Definições
CVM Nº 555; CAPÍTULO III – CARACTERÍSTICAS, CONSTITUIÇÃO E COMUNICAÇÃO;Seção I – Características Gerais;4;"Art. 4º  O fundo pode ser constituído sob a forma de condomínio aberto, em que os cotistas podem solicitar o resgate de suas cotas conforme estabelecido em seu regulamento, ou fechado, em que as cotas somente são resgatadas ao término do prazo de duração do fundo. 
<br><br>
Parágrafo único.  Desde que expressamente autorizado pelo regulamento ou pela assembleia geral de cotistas, o fundo pode destinar diretamente aos cotistas as quantias que lhe forem atribuídas a título de dividendos, juros sobre capital próprio, reembolso de proventos decorrentes do empréstimo de valores mobiliários, ou outros rendimentos advindos de ativos financeiros que integrem sua carteira. ";"Art. 4º  O fundo pode ser constituído sob a forma de condomínio aberto, em que os cotistas podem solicitar o resgate de suas cotas conforme estabelecido em seu regulamento, ou fechado, em que as cotas somente são resgatadas ao término do prazo de duração do fundo. 
  
Parágrafo único.  Desde que expressamente autorizado pelo regulamento ou pela assembleia geral de cotistas, o fundo pode destinar diretamente aos cotistas as quantias que lhe forem atribuídas a título de dividendos, juros sobre capital próprio, reembolso de proventos decorrentes do empréstimo de valores mobiliários, ou outros rendimentos advindos de ativos financeiros que integrem sua carteira. ";Características gerais/Novo fundo
CVM Nº 555; CAPÍTULO III – CARACTERÍSTICAS, CONSTITUIÇÃO E COMUNICAÇÃO;Seção I – Características Gerais;5;"Art. 5º  Da denominação do fundo deve constar a expressão ""Fundo de Investimento"", acrescida da referência à classificação do fundo, que deve observar o estabelecido na Seção VI do Capítulo IX.
<br><br>
Parágrafo único.  À denominação do fundo não podem ser acrescidos termos ou expressões que induzam interpretação indevida quanto a seus objetivos, sua política de investimento, seu público alvo ou o eventual tratamento tributário específico a que estejam sujeitos o fundo ou seus cotistas, observado o disposto no § 1º do art. 108. ";"Art. 5º  Da denominação do fundo deve constar a expressão ""Fundo de Investimento"", acrescida da referência à classificação do fundo, que deve observar o estabelecido na Seção VI do Capítulo IX.
  
Parágrafo único.  À denominação do fundo não podem ser acrescidos termos ou expressões que induzam interpretação indevida quanto a seus objetivos, sua política de investimento, seu público alvo ou o eventual tratamento tributário específico a que estejam sujeitos o fundo ou seus cotistas, observado o disposto no § 1º do art. 108. ";Denominação/Características gerais/Novo fundo
CVM Nº 555; CAPÍTULO III – CARACTERÍSTICAS, CONSTITUIÇÃO E COMUNICAÇÃO;Seção II – Constituição e Registro ;6;Art. 6º  O fundo será constituído por deliberação de um administrador a quem incumbe aprovar, no mesmo ato, o regulamento do fundo.;Art. 6º  O fundo será constituído por deliberação de um administrador a quem incumbe aprovar, no mesmo ato, o regulamento do fundo.;Registro/Constituição/Novo fundo/Administrador
CVM Nº 555; CAPÍTULO III – CARACTERÍSTICAS, CONSTITUIÇÃO E COMUNICAÇÃO;Seção II – Constituição e Registro ;7;"Art. 7º  O funcionamento do fundo depende do prévio registro na CVM, o qual será procedido por meio do envio, pelo administrador, dos documentos previstos no art. 8º, por meio do Sistema de Envio de Documentos disponível na página da CVM na rede mundial de computadores, e considerar-se-á automaticamente concedido na data constante do respectivo protocolo de envio.<br><br>
Art. 7º-A   Não será concedido o registro de que trata o art. 7º ao administrador cujos fundos por ele administrados estejam em atraso por mais de 60 (sessenta) dias no cumprimento dos prazos de entrega das informações periódicas previstas na regulamentação.<br><br>
Art. 7º-A incluído pela Instrução CVM nº 609, de 25 de junho de 2019.<br><br>
Art. 7º-B  Em situações excepcionais, e mediante pedido fundamentado, a Superintendência de Relações com Investidores Institucionais – SIN poderá dispensar o cumprimento do disposto no art. 7º-A.<br><br>
§ 1º  Na análise dos pedidos a que se refere o caput, a SIN poderá considerar, dentre outros fatores:<br><br>
I – se houve alteração do administrador do fundo após o início do prazo a que se refere o art. 7º-A;<br><br>
II – se o atraso decorre de indisponibilidade de informações por parte de outros fundos ou emissores de valores mobiliários nos quais o fundo invista, sem que o administrador tenha dado causa a essa indisponibilidade ou tenha meios para saná-la; e<br><br>
III – a quantidade de fundos administrados pelo requerente com informações periódicas em atraso.<br><br>
§ 2º  A SIN tem 10 (dez) dias úteis para se manifestar sobre o pedido.<br><br>
 Art. 7º-B incluído pela Instrução CVM nº 609, de 25 de junho de 2019.<br><br>";"Art. 7º  O funcionamento do fundo depende do prévio registro na CVM, o qual será procedido por meio do envio, pelo administrador, dos documentos previstos no art. 8º, por meio do Sistema de Envio de Documentos disponível na página da CVM na rede mundial de computadores, e considerar-se-á automaticamente concedido na data constante do respectivo protocolo de envio.  
Art. 7º-A   Não será concedido o registro de que trata o art. 7º ao administrador cujos fundos por ele administrados estejam em atraso por mais de 60 (sessenta) dias no cumprimento dos prazos de entrega das informações periódicas previstas na regulamentação.  
Art. 7º-A incluído pela Instrução CVM nº 609, de 25 de junho de 2019.  
Art. 7º-B  Em situações excepcionais, e mediante pedido fundamentado, a Superintendência de Relações com Investidores Institucionais – SIN poderá dispensar o cumprimento do disposto no art. 7º-A.  
§ 1º  Na análise dos pedidos a que se refere o caput, a SIN poderá considerar, dentre outros fatores:  
I – se houve alteração do administrador do fundo após o início do prazo a que se refere o art. 7º-A;  
II – se o atraso decorre de indisponibilidade de informações por parte de outros fundos ou emissores de valores mobiliários nos quais o fundo invista, sem que o administrador tenha dado causa a essa indisponibilidade ou tenha meios para saná-la; e  
III – a quantidade de fundos administrados pelo requerente com informações periódicas em atraso.  
§ 2º  A SIN tem 10 (dez) dias úteis para se manifestar sobre o pedido.  
 Art. 7º-B incluído pela Instrução CVM nº 609, de 25 de junho de 2019.  ";Registro/Constituição/Novo fundo/Administrador/Documento
